2026-05-09 23:01:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:01:22 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:37 CST)" (scheduled at 2026-05-09 23:01:22.530444-06:00)
2026-05-09 23:01:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:01:22 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:37 CST)" executed successfully
2026-05-09 23:01:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:02:22 CST)" executed successfully
2026-05-09 23:01:37 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:52 CST)" (scheduled at 2026-05-09 23:01:37.530444-06:00)
2026-05-09 23:01:37 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:37 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:52 CST)" executed successfully
2026-05-09 23:01:52 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:07 CST)" (scheduled at 2026-05-09 23:01:52.530444-06:00)
2026-05-09 23:01:52 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:52 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:07 CST)" executed successfully
2026-05-09 23:02:07 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:22 CST)" (scheduled at 2026-05-09 23:02:07.530444-06:00)
2026-05-09 23:02:07 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:07 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:22 CST)" executed successfully
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:03:22 CST)" (scheduled at 2026-05-09 23:02:22.527118-06:00)
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:37 CST)" (scheduled at 2026-05-09 23:02:22.530444-06:00)
2026-05-09 23:02:22 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:02:22 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:37 CST)" executed successfully
2026-05-09 23:02:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:02:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:02:22 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:02:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
